sales,price,advert
220.12,99.21,54.0
197.64,96.71,81.48
191.7,98.08,71.19
229.29,88.3,21.56
191.18,113.18,35.94
158.04,93.49,99.47
217.42,99.39,62.96
230.99,90.48,55.1
187.89,92.49,81.4
113.71,84.67,116.32
150.5,115.08,87.41
212.73,98.15,58.49
201.51,111.59,63.87
190.12,100.16,70.43
230.03,91.67,39.68
222.5,96.08,28.53
224.98,93.28,56.31
212.49,100.1,31.32
230.82,95.5,53.46
220.17,96.4,57.4
137.09,83.46,113.53
234.84,90.32,33.72
203.91,119.85,51.96
210.37,91.95,50.89
231.49,87.35,65.93
179.23,104.05,81.17
191.61,116.89,42.74
227.93,82.55,34.47
186.04,97.5,13.98
216.85,92.42,31.84
223.34,78.87,68.41
205.65,108.82,56.14
199.09,99.72,29.61
229.09,100.86,45.68
225.86,90.97,55.79
193.95,105.46,67.59
217.76,93.53,40.17
210.39,98.29,48.74
200.81,86.7,9.54
223.64,85.41,26.22
141.84,116.03,95.44
185.37,93.91,0.3
200.8,103.5,46.55
207.81,99.59,60.48
213.33,94.71,45.64
223.15,93.9,34.8
218.6,107.56,53.47
223.03,96.38,54.88
213.67,98.18,52.95
184.2,100.27,8.06
186.24,114.12,51.31
192.51,108.17,33.62
216.45,104.59,41.31
211.64,93.24,60.67
220.93,83.42,71.02
172.62,111.39,77.42
201.01,111.6,42.59
203.41,98.31,78.1
171.52,106.5,84.34
165.75,109.38,83.42
148.65,109.97,89.74
207.13,111.06,51.36
212.07,94.53,50.65
162.93,118.18,75.63
212.87,85.04,20.84
185.44,110.34,60.24
215.7,105.93,41.74
226.89,110.48,45.78
153.43,122.55,11.46
201.84,117.81,32.74
232.74,86.26,54.49
207.75,79.74,77.21
173.08,109.8,79.75
227.25,87.82,52.99
211.13,99.85,50.27
218.7,110.08,34.23
215.08,80.27,65.06
251.42,74.68,48.81
199.7,103.11,70.15
144.48,100.53,98.79
218.43,97.05,54.19
215.49,100.46,17.57
229.44,89.67,33.48
228.35,81.84,18.55
213.87,98.0,25.07
169.93,88.34,87.63
245.71,80.28,60.67
212.05,106.07,17.0
207.64,99.26,71.34
171.31,104.88,86.51
219.45,88.13,46.0
225.81,92.1,38.1
224.49,88.01,46.57
216.54,89.36,62.12
205.2,102.34,71.0
181.97,90.6,84.56
167.49,104.27,85.31
155.2,104.08,84.64
138.06,124.3,89.05
221.09,83.29,71.53
186.72,110.65,16.73
210.18,98.93,51.73
222.48,99.83,62.85
227.03,82.6,45.42
186.59,94.48,77.78
197.98,108.92,45.99
219.04,99.01,31.86
181.44,100.97,91.11
205.96,96.51,71.65
186.37,113.85,60.48
186.83,99.74,78.17
223.12,73.6,81.56
209.5,91.7,63.53
212.34,76.37,0.0
278.1,60.98,38.11
226.22,93.64,43.59
196.24,116.0,30.39
215.12,100.57,59.97
207.13,85.93,84.81
224.31,88.71,42.88
204.1,113.57,26.63
122.6,101.89,105.7
210.45,100.58,43.71
206.93,99.36,24.18
206.7,100.46,60.94
184.13,109.66,65.64
194.8,106.63,37.37
183.23,102.59,74.76
243.15,87.49,42.82
220.12,106.13,31.93
225.73,91.79,59.46
187.24,113.13,74.27
229.09,84.75,39.15
209.0,98.35,63.27
217.46,99.91,52.66
99.45,84.1,120.0
177.56,120.66,37.29
145.71,117.52,89.6
218.37,94.44,53.69
194.31,109.26,51.83
195.85,104.54,73.04
225.06,68.64,77.35
180.63,103.0,86.68
207.87,99.26,63.22
214.8,101.0,39.99
233.0,87.08,41.56
206.22,96.77,67.74
197.47,97.86,69.52
142.64,114.26,89.95
205.48,104.01,65.46
187.66,99.93,81.5
145.58,118.35,92.92
205.32,93.34,59.12
210.26,95.33,17.86
234.03,78.2,25.52
176.82,118.83,19.05
138.93,111.57,94.79
194.44,111.0,33.81
176.05,108.03,85.8
200.7,101.32,69.64
139.49,102.59,97.88
199.73,96.98,80.08
223.64,97.56,52.44
208.82,100.65,50.0
195.4,118.14,57.13
196.06,106.67,59.38
226.04,99.3,41.73
219.84,93.05,54.18
158.15,92.38,95.23
175.66,119.23,12.45
194.8,106.08,61.46
211.41,100.81,32.33
216.62,95.85,59.68
208.14,86.69,76.0
209.93,99.2,53.56
153.05,110.48,74.32
213.25,95.29,15.25
165.91,97.27,82.67
221.02,97.35,39.92
206.98,101.32,70.56
236.2,80.88,59.56
174.29,97.18,0.0
225.48,89.75,36.1
195.13,110.62,60.51
165.13,90.75,93.85
194.73,106.92,62.18
178.43,118.29,61.44
218.52,96.24,19.68
174.56,92.78,90.78
153.35,102.3,100.18
210.59,99.98,55.71
230.81,88.08,49.51
189.44,105.53,14.52
162.49,124.19,77.08
91.7,96.9,120.0
200.16,97.57,72.93
185.36,87.46,86.59
190.23,103.83,68.55
241.25,85.04,30.37
186.05,86.72,88.42
188.4,115.36,24.14
238.57,89.13,49.73
201.07,112.98,61.97
172.21,118.29,77.07
198.02,103.11,65.4
216.89,106.64,64.67
188.9,123.43,35.96
211.93,97.64,22.77
220.38,92.88,56.54
221.79,83.76,37.25
194.76,100.5,22.31
191.54,117.75,23.35
202.91,111.52,42.75
201.53,88.69,8.69
210.45,89.74,21.31
204.49,93.95,14.12
203.08,103.51,59.56
196.76,97.54,65.2
138.41,102.57,105.18
206.7,103.56,17.56
239.9,96.41,38.01
197.99,99.52,77.82
207.39,102.48,49.58
210.6,98.99,46.83
119.67,106.04,97.73
184.32,122.45,46.54
200.69,107.1,26.1
214.31,100.67,22.08
236.85,79.77,63.39
206.55,104.66,62.63
236.69,76.64,20.71
237.64,83.09,30.37
200.91,110.26,68.37
180.97,108.47,69.43
217.45,98.2,38.92
216.35,79.48,70.56
219.18,95.54,69.3
214.95,91.86,10.42
211.83,107.64,47.2
162.41,127.09,65.38
214.85,102.6,40.67
188.11,90.65,1.53
233.46,85.95,47.92
194.91,99.33,73.8
161.42,97.88,94.51
193.59,86.18,0.23
87.01,101.4,120.0
231.1,86.19,26.82
169.14,113.35,78.92
161.96,112.75,85.85
167.05,113.02,79.58
224.45,94.31,58.74
196.47,106.17,25.96
204.4,98.42,70.66
217.39,95.33,37.12
169.37,95.93,0.0
113.38,84.4,120.0
211.23,82.67,72.7
129.21,109.53,100.45
220.5,97.71,32.21
143.03,102.6,91.69
139.14,112.02,94.75
174.72,79.2,93.86
217.86,90.59,54.47
190.75,102.1,24.94
216.41,104.71,50.57
171.01,95.48,0.0
183.43,112.35,12.45
204.89,102.52,57.3
227.61,85.44,30.22
222.36,88.83,50.89
202.42,109.67,52.28
133.49,105.57,103.27
204.36,77.21,87.44
189.41,116.17,53.88
159.49,107.18,85.22
194.98,116.12,35.51
224.75,95.4,46.58
195.47,96.45,77.76
219.94,86.48,23.96
182.03,130.44,48.03
226.27,97.89,21.98
184.84,119.05,57.94
172.73,92.23,95.81
212.86,101.97,36.2
213.79,79.94,60.65
220.01,95.41,32.57
187.88,111.81,26.26
244.89,84.98,24.1
139.4,112.87,91.37
96.17,104.05,114.06
217.88,87.47,67.08
221.5,93.98,37.09
198.55,94.49,72.62
216.66,99.41,46.64
193.36,93.57,75.03
218.4,90.07,62.27
218.7,96.34,61.99
232.13,87.68,70.18
243.83,84.53,40.51
218.35,99.42,44.89
180.18,110.59,11.97
249.43,81.65,43.95
216.08,100.04,19.44
233.92,92.2,51.38
226.38,88.27,31.06
200.67,110.24,57.53
213.15,93.78,66.33
189.59,117.98,19.5
231.36,90.64,34.67
194.81,104.64,31.42
180.88,97.27,73.66
163.36,90.95,97.66
166.29,107.05,76.29
216.81,98.14,46.26
155.4,107.24,91.63
187.95,99.43,17.15
184.02,86.97,92.48
223.0,98.78,38.59
173.13,100.62,0.0
82.43,111.5,120.0
187.91,89.12,94.45
200.16,99.53,29.2
244.46,79.34,59.23
208.71,107.82,49.64
231.37,87.02,57.56
238.12,78.32,17.92
210.32,99.29,37.96
182.89,113.27,66.7
225.65,81.71,60.57
190.58,86.94,84.98
222.34,91.08,56.99
121.49,86.45,113.73
204.23,104.55,37.11
225.38,90.31,61.48
195.43,91.34,7.09
205.17,107.0,23.67
169.09,90.93,88.21
199.95,105.19,31.43
211.09,88.34,68.27
230.94,85.45,53.46
235.45,77.97,28.89
196.41,122.33,46.29
221.77,96.16,42.14
210.28,102.93,42.82
197.35,99.63,73.84
201.28,101.92,71.31
212.11,100.6,40.56
194.94,122.9,32.32
227.28,87.53,62.06
238.26,81.31,52.5
196.26,87.86,80.71
104.88,83.98,120.0
186.24,108.96,76.07
208.9,109.84,54.13
232.26,88.46,50.7
244.28,83.31,33.58
220.69,95.74,32.33
199.39,116.69,29.91
258.54,66.17,45.12
190.88,106.32,44.32
223.34,87.09,73.59
201.68,112.48,45.03
220.8,87.06,50.06
211.08,96.58,24.54
170.11,81.92,96.11
234.05,88.27,67.67
132.44,116.63,99.72
171.56,109.85,74.92
172.28,95.18,92.24
224.8,89.56,48.79
237.39,77.27,72.93
82.91,95.28,120.0
189.21,99.63,24.41
175.15,98.99,84.41
150.94,98.87,97.45
218.86,86.54,65.53
177.78,99.2,74.13
176.79,99.54,86.99
207.41,115.49,38.24
162.27,122.4,65.44
220.95,98.36,32.8
221.61,90.8,37.72
239.5,99.22,39.21
227.2,92.71,51.34
220.39,91.09,58.74
213.61,99.3,66.58
217.88,87.48,18.73
116.14,107.27,105.67
186.54,98.75,84.59
186.46,103.0,73.59
204.79,97.8,45.84
242.09,91.27,52.72
213.71,88.62,69.03
202.84,97.15,65.54
200.85,93.41,11.97
176.91,102.81,73.98
81.86,99.95,120.0
207.91,83.65,7.67
181.67,100.81,80.49
226.39,83.89,64.46
231.57,92.6,52.14
168.29,96.47,90.18
243.9,75.1,24.66
213.76,101.1,59.18
151.93,101.81,92.55
219.86,98.1,49.95
215.18,94.91,44.27
225.13,95.52,57.95
230.84,88.28,43.58
160.84,96.76,94.73
211.16,93.37,31.7
189.33,101.1,77.42
217.25,85.55,22.83
198.78,102.83,72.19
211.64,101.72,52.31
170.31,98.3,0.0
227.09,94.73,54.85
205.01,106.63,27.58
235.22,80.02,43.58
160.95,105.53,94.54
200.32,102.92,26.29
200.0,103.4,27.75
157.73,104.6,92.02
215.23,92.16,57.98
158.84,96.89,94.62
196.75,107.64,63.32
218.85,105.17,32.32
222.46,102.48,53.3
191.48,81.83,86.6
191.21,106.45,79.19
195.76,114.03,55.02
200.29,112.12,56.25
218.41,102.81,52.11
242.92,81.31,40.13
138.05,111.31,104.65
216.91,98.23,55.18
238.29,69.61,25.93
221.96,104.53,42.74
215.28,82.09,73.67
215.97,84.44,71.49
200.23,92.38,51.48
202.6,115.27,37.82
224.62,95.55,55.61
192.42,103.25,11.98
191.19,120.98,21.54
179.35,119.13,75.53
216.82,98.76,42.68
218.13,97.1,64.64
187.16,84.87,86.31
204.39,91.67,71.7
214.73,105.1,55.53
122.28,104.75,109.7
185.03,101.32,72.16
204.7,111.94,45.89
205.64,90.73,73.82
199.17,99.33,65.48
214.75,108.77,33.0
199.92,107.01,56.88
185.64,112.85,50.76
165.47,104.76,4.46
233.98,96.29,50.57
198.52,104.35,47.72
234.09,87.97,43.73
225.75,80.33,12.72
210.24,106.97,45.88
204.8,99.34,53.98
204.16,103.7,57.62
235.0,79.63,25.82
208.89,95.62,71.26
209.48,92.8,23.76
218.09,89.63,49.25
212.5,72.94,88.54
225.79,95.98,37.21
205.58,110.77,41.87
171.56,104.57,82.58
226.54,92.79,45.13
215.95,99.82,47.37
204.57,109.08,60.68
216.35,66.87,81.96
162.63,98.51,0.0
203.73,106.52,33.72
187.44,108.19,29.13
185.16,120.41,27.14
199.3,113.62,33.06
204.3,103.75,33.46
206.29,103.62,62.73
187.86,109.44,32.2
219.12,93.53,58.14
209.81,99.52,65.29
206.33,110.87,36.3
189.99,123.49,58.35
141.16,98.09,96.94
196.18,99.42,63.25
214.1,102.38,38.68
197.08,116.12,53.34
231.41,99.64,31.55
190.94,117.63,61.93
199.6,88.4,77.06
223.48,97.77,34.05
211.81,97.62,49.65
155.12,109.44,83.43
222.11,112.54,42.29
235.18,81.89,59.8
233.92,89.02,28.85
216.58,104.04,34.08
242.01,92.1,41.91
147.19,81.73,109.41
211.1,112.46,44.77
195.41,105.93,41.75
198.97,105.92,40.92
233.02,94.29,50.86
194.98,112.35,71.4
217.67,97.12,59.74
106.87,113.16,106.45
224.53,89.06,60.34
174.69,89.75,91.19
217.81,102.46,61.92
215.21,91.57,70.14
193.26,108.11,18.91
214.67,103.12,51.82
235.42,88.92,53.28
220.54,100.87,48.93
188.74,95.78,1.18
166.25,110.99,77.02
230.94,92.41,45.32
242.79,94.73,44.05
191.42,114.53,48.62
182.26,126.86,49.3
182.38,123.99,65.18
219.44,100.76,23.22
213.77,102.63,31.72
171.71,118.4,62.27
216.71,98.51,58.64
222.41,88.28,45.58
211.59,101.4,40.65
216.29,105.42,34.14
224.18,90.05,53.54
209.02,80.25,84.52
256.41,82.76,28.55
156.5,107.99,93.08
208.0,90.9,76.1
210.52,98.3,43.68
182.3,102.55,74.58
185.41,107.43,18.35
194.86,95.98,11.71
200.19,105.98,22.76
225.2,89.32,44.76
218.85,95.66,46.86
224.37,87.71,42.12
182.88,113.58,57.49
164.02,99.68,1.62
216.48,91.13,67.38
215.28,95.77,19.52
228.35,97.34,38.48
212.02,108.41,44.68
230.6,80.85,26.09
229.58,87.55,20.73
207.75,95.46,29.85
193.59,130.39,54.7
194.89,111.47,69.75
200.61,98.66,69.11
192.58,108.54,30.14
189.08,124.69,35.21
199.49,97.2,31.98
202.88,95.6,66.25
176.57,114.54,4.06
166.54,105.93,85.96
203.87,108.06,42.88
230.52,93.9,35.41
170.09,123.09,63.49
165.13,120.52,80.82
194.66,106.79,63.56
168.64,108.21,81.32
244.92,75.67,58.36
156.88,107.65,85.74
195.25,97.67,86.13
204.07,105.21,52.51
175.75,108.19,90.98
207.01,95.9,59.12
242.01,79.71,57.17
198.71,104.41,31.96
217.18,91.1,47.78
200.79,96.04,74.44
220.57,92.75,22.18
192.45,95.9,71.24
251.23,72.29,63.72
183.44,114.6,61.94
175.32,103.04,0.0
199.44,113.34,52.42
175.03,123.76,71.21
197.67,100.27,35.93
251.88,78.37,57.26
183.37,89.27,0.0
212.2,85.52,71.78
217.4,93.98,38.44
175.08,100.96,76.78
209.7,75.97,8.93
195.99,104.11,72.31
232.66,81.88,49.08
180.44,103.57,75.19
211.84,98.69,31.86
230.68,96.24,39.54
116.03,99.12,111.06
215.64,93.52,34.25
232.99,92.65,37.35
244.44,79.81,48.09
210.58,99.64,29.44
151.12,122.15,84.76
101.55,123.77,98.13
187.76,115.86,37.4
184.76,108.47,11.85
182.41,91.88,84.3
158.92,117.31,82.71
199.12,99.33,75.54
181.19,99.17,83.91
221.03,96.51,33.31
206.36,101.1,50.79
192.42,94.78,20.4
196.52,98.99,19.55
190.27,86.98,79.53
216.31,95.52,38.2
70.63,127.37,111.99
203.1,99.16,56.85
210.82,97.14,38.99
182.97,106.39,74.95
142.13,108.5,100.03
215.61,86.63,67.15
218.5,97.51,24.57
190.2,111.02,64.28
155.64,103.24,89.39
213.57,101.46,42.67
205.52,118.65,35.66
188.0,91.87,80.41
219.01,100.99,58.5
230.14,93.76,27.44
206.06,117.88,45.51
236.41,76.58,36.11
234.38,91.96,62.41
220.27,93.65,57.74
161.31,107.96,83.76
185.05,107.28,72.74
183.3,116.74,15.91
229.9,81.11,65.17
177.03,109.01,77.42
218.67,96.48,66.4
187.8,92.01,80.75
200.75,106.47,41.26
231.74,88.96,31.23
224.65,75.08,78.25
223.15,95.56,28.36
194.07,82.03,1.01
202.45,92.21,80.63
209.56,104.46,36.9
225.85,103.74,47.35
167.66,119.04,20.05
212.13,97.6,21.86
231.64,81.6,26.09
216.16,90.93,45.98
214.77,88.97,64.25
198.83,85.39,0.0
184.88,105.22,73.8
208.54,92.26,25.45
253.09,76.27,28.34
195.8,108.36,71.95
224.37,98.66,53.13
187.41,104.28,16.59
131.71,101.27,101.11
216.79,107.58,33.48
203.09,100.46,61.18
185.26,114.83,60.0
167.63,105.1,90.28
223.69,104.7,43.61
171.58,104.92,80.2
212.35,82.52,36.45
174.42,98.02,83.05
209.38,96.89,35.93
210.98,102.49,45.94
171.51,83.7,102.4
182.03,119.61,62.92
204.11,101.25,57.74
124.6,85.46,111.05
224.46,79.49,64.03
219.61,96.62,34.6
192.08,98.92,73.37
237.02,91.38,25.46
184.09,101.11,83.21
177.06,92.31,85.15
200.05,106.62,40.68
224.75,91.31,39.3
197.71,99.54,59.41
191.9,111.75,55.35
168.73,130.86,30.56
223.82,87.91,69.2
182.86,94.43,3.95
222.04,89.92,44.18
196.68,109.41,44.9
223.53,86.22,48.17
214.63,94.19,62.68
205.35,99.64,24.3
224.33,88.26,69.71
222.54,88.51,50.5
231.14,94.29,38.74
243.26,74.79,20.83
237.99,82.65,25.42
197.09,95.04,64.01
202.16,101.78,30.9
220.79,97.77,56.6
220.14,78.71,81.55
193.14,94.43,80.82
155.39,109.58,94.01
203.02,106.67,47.59
212.07,99.06,27.87
191.35,89.35,80.51
205.45,107.57,62.74
190.06,93.05,83.1
227.68,85.97,55.28
183.74,90.37,84.89
176.65,117.38,76.16
195.6,102.64,72.91
179.04,113.91,67.59
227.1,94.25,64.94
197.26,111.26,60.83
218.39,92.78,60.65
203.4,98.11,79.75
187.58,129.84,42.2
136.76,109.21,98.39
226.32,93.99,52.34
176.7,98.98,79.63
203.42,103.91,52.74
178.96,114.53,48.83
149.64,94.13,105.81
226.11,79.1,47.27
216.3,96.64,23.07
210.56,100.18,37.15
208.04,101.31,47.07
103.5,115.8,108.88
207.08,103.8,60.17
180.75,109.76,78.37
241.95,86.79,29.96
196.63,110.41,63.82
173.27,125.15,71.79
126.49,109.27,100.04
220.94,103.04,37.59
198.81,101.85,70.09
177.0,121.45,62.56
226.51,88.87,29.46
215.38,98.67,54.51
210.14,105.52,48.41
174.44,108.93,0.0
202.29,94.75,69.97
190.96,103.69,68.51
225.05,96.66,44.03
189.78,101.45,21.54
166.51,98.41,92.0
237.87,86.3,61.65
167.52,99.75,80.42
145.51,110.53,90.26
235.58,88.4,41.98
185.02,97.11,75.3
226.79,107.98,48.97
209.24,87.16,53.44
221.54,102.19,52.86
241.51,87.28,54.97
169.38,113.62,82.85
175.15,127.75,58.1
186.96,124.27,51.16
211.83,97.37,48.09
201.88,108.88,63.53
201.49,101.45,32.63
210.02,101.23,42.43
198.96,118.57,53.69
226.28,84.17,40.85
196.0,112.66,52.04
216.42,99.41,39.73
97.56,116.9,105.1
181.53,102.25,88.23
216.53,91.93,66.25
196.18,103.33,53.66
109.08,108.83,109.77
200.23,100.43,63.07
201.08,105.86,52.83
216.42,93.74,62.58
233.8,74.39,62.65
164.14,110.8,90.26
196.69,108.39,54.53
137.77,101.78,107.48
215.93,100.82,32.95
188.02,112.44,72.35
214.06,94.51,29.95
147.12,91.52,100.43
209.62,97.74,46.74
201.19,114.27,53.55
214.88,83.35,78.11
176.46,114.3,86.38
225.98,92.33,27.2
233.14,86.79,46.35
176.61,115.12,20.13
215.8,98.84,58.43
233.45,84.4,52.47
233.24,95.7,46.28
207.5,111.17,37.89
192.91,114.3,45.35
210.92,94.87,36.34
207.09,104.88,68.22
160.66,108.57,92.9
192.57,92.26,6.73
218.45,104.26,52.1
214.4,99.62,44.55
208.42,93.57,67.31
216.63,94.09,31.21
198.69,100.8,51.34
218.67,100.36,29.01
196.49,93.21,72.42
213.28,94.89,57.48
192.32,113.36,50.96
208.89,102.57,64.25
203.12,110.62,48.84
185.22,114.42,16.15
177.82,107.07,69.89
172.76,127.25,62.21
215.83,90.1,51.15
178.62,109.7,79.62
182.07,96.18,85.46
176.31,122.27,27.69
202.75,120.41,35.47
196.57,76.55,93.68
182.88,88.37,90.47
205.15,107.97,36.54
196.5,109.48,25.48
214.89,108.84,39.06
225.86,99.15,42.55
181.36,105.46,15.4
210.94,107.84,55.78
218.37,99.07,23.0
204.58,112.33,24.74
226.95,72.89,77.9
192.87,107.61,37.92
219.4,87.59,53.21
200.17,111.5,70.73
197.63,97.26,75.33
218.96,89.33,46.57
209.67,104.49,56.1
225.84,89.06,34.36
149.72,89.05,98.68
204.44,81.19,71.25
195.35,99.68,27.42
207.46,105.96,55.1
183.95,112.28,72.84
202.85,98.3,66.99
127.79,112.57,100.73
176.88,100.22,89.31
200.25,98.88,41.52
202.4,106.88,52.77
179.63,112.7,22.96
204.17,95.9,61.24
210.08,97.07,58.78
96.03,98.07,120.0
208.19,100.99,57.44
187.77,89.2,2.67
193.94,112.34,38.2
233.49,95.2,57.81
189.75,105.55,23.6
213.23,90.09,33.32
